ID,BuildingType,NumFloors,LandUse,latitude,longitude
36871,,2.0,01,40.68663082005671,-73.94212347218188
36872,,3.0,02,40.68666707295033,-73.94220975905236
36873,,4.0,02,40.686651735591624,-73.9423419782904
36874,,2.0,04,40.6866361518078,-73.94247631756706
36875,,2.0,01,40.686627320469675,-73.94255245121107
36876,,2.0,01,40.68662092474765,-73.94260758713985
36877,,2.0,01,40.686613877669025,-73.94266833427959
36878,,4.0,02,40.68660143970103,-73.94277555410584
36879,,4.0,02,40.68658596814142,-73.94290892166643
36880,,3.0,01,40.68657330169431,-73.94301811191104
36881,,3.0,01,40.68656414844396,-73.94309701300517
36882,,3.0,01,40.686556134265885,-73.94316609385353
36883,,2.5,02,40.686547863455516,-73.94323738518247
36884,,2.5,02,40.68653964282206,-73.94330825322766
36885,,2.5,02,40.68653116131162,-73.94338136545477
36886,,3.0,02,40.68652404852082,-73.94344966581791
36887,,2.0,02,40.686515053578965,-73.9435140608613
36888,,2.0,01,40.686509213547474,-73.94357055306241
36889,,2.0,02,40.6865031020761,-73.94362322426296
36890,,2.0,01,40.68649554221536,-73.94368230484315
36891,,2.0,02,40.686486350787774,-73.94374148408782
36892,,2.0,02,40.686476638057016,-73.9438036768192
36893,,2.0,02,40.68646640896932,-73.94386917266505
36894,,3.0,02,40.686455558004084,-73.94393865900228
36895,,2.0,01,40.68644466935679,-73.94400837057283
36896,,0.0,11,40.686421274347424,-73.94407464980513
36897,,5.0,03,40.68687980907853,-73.94282259418573
36898,,6.0,03,40.68711669319651,-73.94062763999588
36899,,4.0,04,40.687277149194905,-73.9393028095083
36900,,3.0,02,40.6871293480886,-73.93916303287621
36901,,3.0,04,40.687076023973354,-73.93915240479546
36902,,3.0,04,40.68701953096355,-73.93914096540571
36903,,3.0,04,40.686964577930965,-73.93913001224074
36904,,3.0,04,40.68690817479843,-73.93911891341168
36905,,2.0,01,40.686994174833906,-73.93933000349458
36906,,2.0,01,40.686987176483214,-73.93939175783075
36907,,2.0,01,40.68697992709586,-73.939453971274
36908,,2.0,01,40.68697239780106,-73.93951859270753
36909,,2.0,01,40.68696491909102,-73.93958278449021
36910,,2.0,02,40.68695770616053,-73.93964469526772
36911,,2.0,01,40.6869506356252,-73.93970537606948
36912,,3.0,01,40.686943230673684,-73.93976892658902
36913,,3.0,01,40.68693558687067,-73.93983452586711
36914,,2.0,01,40.68692791149694,-73.93990039324888
36915,,2.0,01,40.686919606470504,-73.93997167850726
36916,,2.0,01,40.68691115468696,-73.94004421051461
36917,,2.0,01,40.686903014693186,-73.94011406896664
36918,,2.0,01,40.686894813125335,-73.94018446275643
36919,,3.0,02,40.6868868179224,-73.94025307390164
36920,,3.0,02,40.68687186671471,-73.94038138574203
36921,,3.0,02,40.68686439085626,-73.9404455416471
36922,,3.0,02,40.686856915115804,-73.94050969793652
36923,,3.0,02,40.68684981388092,-73.94057063918333
36924,,3.0,02,40.686842712932005,-73.94063158124216
36925,,3.0,01,40.686834592822755,-73.94070126207319
36926,,3.0,01,40.68682682624261,-73.94076791189963
36927,,3.0,01,40.68681984793032,-73.94082779126852
36928,,3.0,01,40.68681154211702,-73.94089907647405
36929,,2.0,01,40.6868033187373,-73.94096964698414
36930,,2.0,02,40.68679665222551,-73.94102685270656
